site,datetime,date,month,season,hs,hmax,tz,tp,dir,sst,month_num
Gold Coast,2024-12-31T14:00:00Z,2025-01-01,Jan,Summer,0.704,1.321,4.121,7.143,101.48,25.56,1
Gold Coast,2024-12-31T14:30:00Z,2025-01-01,Jan,Summer,0.714,1.272,4.305,5.714,105.09,25.56,1
Gold Coast,2024-12-31T15:00:00Z,2025-01-01,Jan,Summer,0.728,1.28,4.684,7.143,105,25.52,1
Gold Coast,2024-12-31T15:30:00Z,2025-01-01,Jan,Summer,0.714,1.234,4.425,7.143,104.21,25.52,1
Gold Coast,2024-12-31T16:00:00Z,2025-01-01,Jan,Summer,0.682,1.234,4.252,6.25,99.81,25.52,1
Gold Coast,2024-12-31T16:30:00Z,2025-01-01,Jan,Summer,0.699,1.167,4.139,6.452,103.07,25.52,1
Gold Coast,2024-12-31T17:00:00Z,2025-01-01,Jan,Summer,0.693,1.071,3.862,6.061,101.4,25.47,1
Gold Coast,2024-12-31T17:30:00Z,2025-01-01,Jan,Summer,0.685,1.224,3.933,5.882,105.09,25.47,1
Gold Coast,2024-12-31T18:00:00Z,2025-01-01,Jan,Summer,0.686,1.225,3.801,5.714,99.81,25.47,1
Gold Coast,2024-12-31T18:30:00Z,2025-01-01,Jan,Summer,0.708,1.317,3.704,6.667,102.63,25.47,1
Gold Coast,2024-12-31T19:00:00Z,2025-01-01,Jan,Summer,0.717,1.305,3.858,6.667,106.5,25.47,1
Gold Coast,2024-12-31T19:30:00Z,2025-01-01,Jan,Summer,0.708,1.269,3.849,5.556,108.43,25.52,1
Gold Coast,2024-12-31T20:00:00Z,2025-01-01,Jan,Summer,0.682,1.148,3.941,5.714,114.06,25.47,1
Gold Coast,2024-12-31T20:30:00Z,2025-01-01,Jan,Summer,0.656,1.157,3.799,6.25,105.79,25.47,1
Gold Coast,2024-12-31T21:00:00Z,2025-01-01,Jan,Summer,0.684,1.211,3.837,5.714,109.04,25.47,1
Gold Coast,2024-12-31T21:30:00Z,2025-01-01,Jan,Summer,0.651,1.139,3.64,5.263,111.42,25.52,1
Gold Coast,2024-12-31T22:00:00Z,2025-01-01,Jan,Summer,0.719,1.292,3.776,5.405,100.87,25.56,1
Gold Coast,2024-12-31T22:30:00Z,2025-01-01,Jan,Summer,0.715,1.171,3.845,5.882,122.76,25.56,1
