Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
2025-01-01T00:00,0.704,1.321,4.121,7.143,101.48,25.560
2025-01-01T00:30,0.714,1.272,4.305,5.714,105.09,25.560
2025-01-01T01:00,0.728,1.280,4.684,7.143,105.00,25.520
2025-01-01T01:30,0.714,1.234,4.425,7.143,104.21,25.520
2025-01-01T02:00,0.682,1.234,4.252,6.250,99.81,25.520
2025-01-01T02:30,0.699,1.167,4.139,6.452,103.07,25.520
2025-01-01T03:00,0.693,1.071,3.862,6.061,101.40,25.470
2025-01-01T03:30,0.685,1.224,3.933,5.882,105.09,25.470
2025-01-01T04:00,0.686,1.225,3.801,5.714,99.81,25.470
2025-01-01T04:30,0.708,1.317,3.704,6.667,102.63,25.470
2025-01-01T05:00,0.717,1.305,3.858,6.667,106.50,25.470
2025-01-01T05:30,0.708,1.269,3.849,5.556,108.43,25.520
2025-01-01T06:00,0.682,1.148,3.941,5.714,114.06,25.470
2025-01-01T06:30,0.656,1.157,3.799,6.250,105.79,25.470
2025-01-01T07:00,0.684,1.211,3.837,5.714,109.04,25.470
2025-01-01T07:30,0.651,1.139,3.640,5.263,111.42,25.520
2025-01-01T08:00,0.719,1.292,3.776,5.405,100.87,25.560
2025-01-01T08:30,0.715,1.171,3.845,5.882,122.76,25.560
2025-01-01T09:00,0.723,1.366,3.838,5.882,105.62,25.660
2025-01-01T09:30,0.738,1.194,4.179,5.882,100.34,25.700
2025-01-01T10:00,0.738,1.223,4.176,6.061,111.42,25.700
2025-01-01T10:30,0.784,1.803,4.043,6.061,109.13,25.800
2025-01-01T11:00,0.777,1.323,4.024,5.882,100.25,25.750
2025-01-01T11:30,0.807,1.325,3.917,6.250,104.82,25.800
2025-01-01T12:00,0.822,1.480,3.892,6.897,105.35,25.800
2025-01-01T12:30,0.880,1.427,4.198,6.061,105.97,25.800
2025-01-01T13:00,0.967,1.533,4.309,6.452,103.33,25.800
2025-01-01T13:30,0.930,1.695,4.151,6.061,101.57,25.800
2025-01-01T14:00,0.967,1.703,3.758,5.882,102.10,25.840
2025-01-01T14:30,1.030,1.678,3.778,6.452,103.15,25.800
2025-01-01T15:00,1.158,2.118,4.028,6.897,102.10,25.840
2025-01-01T15:30,1.113,1.798,4.015,6.897,98.06,25.800
2025-01-01T16:00,1.183,2.051,4.276,6.667,103.07,25.840
2025-01-01T16:30,1.121,2.256,4.051,6.897,98.23,25.800
2025-01-01T17:00,1.202,2.042,4.241,6.667,105.44,25.800
2025-01-01T17:30,1.216,1.995,4.346,6.897,108.08,25.800
2025-01-01T18:00,1.163,1.970,4.454,6.452,108.17,25.800
2025-01-01T18:30,1.203,2.388,4.515,6.667,104.65,25.800
2025-01-01T19:00,1.137,2.006,4.406,6.897,109.84,25.800
2025-01-01T19:30,1.234,1.862,4.558,6.897,101.48,25.800
2025-01-01T20:00,1.246,2.038,4.638,7.407,102.98,25.750
2025-01-01T20:30,1.179,2.505,4.480,6.897,105.70,25.750
2025-01-01T21:00,1.145,1.983,4.410,6.897,108.52,25.750
2025-01-01T21:30,1.172,1.735,4.541,6.667,101.84,25.750
2025-01-01T22:00,1.178,1.972,4.643,6.667,97.70,25.750
2025-01-01T22:30,1.129,1.769,4.528,6.061,95.59,25.750
2025-01-01T23:00,1.103,2.125,4.474,6.667,94.19,25.750
2025-01-01T23:30,1.183,1.933,4.571,6.667,101.92,25.750
2025-01-02T00:00,1.132,2.020,4.615,6.897,95.95,25.750
2025-01-02T00:30,1.121,1.874,4.448,6.897,105.18,25.750
2025-01-02T01:00,1.188,1.870,4.596,7.143,102.19,25.750
2025-01-02T01:30,1.205,1.857,4.747,7.143,97.97,25.750
2025-01-02T02:00,1.211,1.961,4.818,6.452,97.35,25.750
2025-01-02T02:30,1.193,2.124,4.850,7.143,95.59,25.750
2025-01-02T03:00,1.189,1.980,4.741,7.143,95.68,25.750
2025-01-02T03:30,1.184,2.060,4.553,6.897,87.15,25.750
2025-01-02T04:00,1.209,2.155,4.470,7.143,91.64,25.750
2025-01-02T04:30,1.170,1.963,4.447,6.667,87.42,25.750
2025-01-02T05:00,1.170,2.034,4.780,6.897,95.33,25.750
2025-01-02T05:30,1.190,2.153,4.652,6.897,94.54,25.700
2025-01-02T06:00,1.204,1.984,4.075,6.452,95.42,25.700
