Date/Time (AEST),Hs (m),Hmax (m),Tz (s),Tp (s),Peak Direction (degrees),SST (degrees C)
2025-01-01T00:00,0.709,1.038,4.487,6.667,105.99,26.740
2025-01-01T00:30,0.744,1.231,4.676,6.897,114.96,26.650
2025-01-01T01:00,0.712,1.258,4.509,5.556,108.63,26.650
2025-01-01T01:30,0.731,1.561,4.939,5.128,96.41,26.550
2025-01-01T02:00,0.723,1.092,4.761,5.882,106.08,25.890
2025-01-01T02:30,0.748,1.304,5.217,6.250,102.74,25.840
2025-01-01T03:00,0.762,1.348,4.711,6.452,108.36,25.940
2025-01-01T03:30,0.759,1.397,4.708,5.714,103.35,25.890
2025-01-01T04:00,0.726,1.197,4.845,5.882,114.78,26.170
2025-01-01T04:30,0.747,1.127,4.666,6.061,110.39,26.270
2025-01-01T05:00,0.734,1.591,4.605,6.250,103.53,26.320
2025-01-01T05:30,0.700,1.342,4.617,6.061,108.19,26.270
2025-01-01T06:00,0.762,1.277,4.806,6.061,108.45,26.320
2025-01-01T06:30,0.779,1.304,4.736,6.061,111.26,26.650
2025-01-01T07:00,0.822,1.332,4.860,5.882,110.21,26.650
2025-01-01T07:30,0.846,1.409,4.968,5.714,114.52,26.700
2025-01-01T08:00,0.796,1.518,4.745,5.714,125.24,26.650
2025-01-01T08:30,0.861,1.839,4.889,6.667,110.91,26.650
2025-01-01T09:00,0.839,1.552,4.691,5.882,113.99,26.700
2025-01-01T09:30,0.868,1.389,4.806,6.250,112.50,26.700
2025-01-01T10:00,0.909,1.424,4.851,6.061,113.20,26.740
2025-01-01T10:30,0.890,1.764,4.592,6.250,111.35,26.740
2025-01-01T11:00,0.923,1.744,4.669,6.250,111.97,26.790
2025-01-01T11:30,1.000,1.761,4.781,6.061,114.52,26.790
2025-01-01T12:00,0.975,1.702,4.856,6.452,111.62,26.840
2025-01-01T12:30,0.975,1.740,4.650,6.452,108.28,26.890
2025-01-01T13:00,1.085,1.832,4.541,6.452,112.06,26.890
2025-01-01T13:30,1.107,1.919,4.387,6.061,114.43,26.930
2025-01-01T14:00,1.137,1.891,4.525,6.452,105.11,27.030
2025-01-01T14:30,1.153,1.808,4.587,6.897,116.01,26.980
2025-01-01T15:00,1.307,2.453,4.618,6.667,113.90,26.980
2025-01-01T15:30,1.344,2.183,4.809,6.250,116.10,27.170
2025-01-01T16:00,1.349,2.280,4.668,6.897,109.42,26.890
2025-01-01T16:30,1.272,2.526,4.651,6.452,110.39,26.890
2025-01-01T17:00,1.313,2.513,4.827,6.667,109.51,27.080
2025-01-01T17:30,1.334,2.216,4.790,6.667,102.03,27.030
2025-01-01T18:00,1.363,2.335,4.743,6.667,98.08,27.030
2025-01-01T18:30,1.329,2.721,4.500,6.667,108.71,26.930
2025-01-01T19:00,1.326,2.642,4.623,6.897,102.65,26.890
2025-01-01T19:30,1.296,2.224,4.515,6.452,104.14,26.890
2025-01-01T20:00,1.288,2.064,4.662,6.667,105.02,26.840
2025-01-01T20:30,1.278,2.405,4.731,7.143,97.64,26.790
2025-01-01T21:00,1.206,1.767,4.757,6.897,102.82,26.740
2025-01-01T21:30,1.213,1.900,4.696,6.897,104.14,26.740
2025-01-01T22:00,1.233,2.094,4.672,6.897,98.34,26.740
2025-01-01T22:30,1.122,2.111,4.451,6.897,106.87,26.740
2025-01-01T23:00,1.157,1.744,4.480,6.667,97.02,26.740
